"","resid_Place","resid_identity","pid7","PARTY","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_Socialist","FT_capitalist","FT_rural","FT_WHO","FT_CDC","ideo7","gender","race","educ","income","age","Voted_2020"
"6989",NA,NA,6,"Republican",0,70,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","White","High School",16,25,0
"6990","City","City Person",1,"Democrat",60,15,85,15,85,0,60,70,0,0,30,0,70,0,15,30,0,85,15,60,50,60,60,0,50,0,40,0,15,4,"Female","Black","Some College",5,39,1
"6991","Suburb","Suburb Person",3,"Democrat",60,15,60,15,60,0,90,0,50,80,60,40,20,30,65,10,50,5,50,60,75,100,65,40,15,80,30,80,85,2,"Male","White","Some College",19,21,1
"6992","Small Town","Small Town Person",4,"Independent",30,30,30,40,50,30,80,20,70,50,80,40,50,40,90,50,70,80,70,50,90,90,30,50,40,40,70,80,80,NA,"Male","White","High School",8,32,0
"6993","City","Suburb Person",1,"Democrat",60,15,70,0,85,0,30,15,85,85,60,0,30,40,100,40,85,40,100,40,100,100,85,40,50,50,30,85,85,3,"Female","White","Some College",10,30,1
"6994",NA,NA,4,"Independent",60,50,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","Hispanic","High School",10,52,0
"6995","Suburb","Suburb Person",1,"Democrat",90,10,90,0,100,0,100,15,85,85,60,40,30,40,60,40,60,70,85,70,60,100,60,70,40,70,85,85,85,2,"Female","White","Graduate Degree",1,65,1
"6996","City","Small Town Person",3,"Democrat",70,15,70,15,70,15,85,50,60,60,50,60,60,85,85,30,50,85,85,90,70,85,70,80,65,50,75,70,80,4,"Male","White","Bachelor's Degree",5,63,0
"6997","Suburb","Suburb Person",4,"Independent",50,40,60,0,70,0,85,70,50,60,40,30,70,60,50,40,50,100,85,50,50,70,70,70,30,40,50,60,60,4,NA,"White","Bachelor's Degree",NA,38,1
"6998","Small Town","Small Town Person",4,"Independent",50,50,60,40,70,30,100,50,70,50,40,50,50,100,60,60,70,60,70,85,60,85,70,85,50,85,85,85,85,4,"Male","White","Graduate Degree",21,56,1
"6999","City",NA,1,"Democrat",85,30,85,0,85,0,100,15,85,85,85,30,30,40,70,40,85,50,85,60,70,100,85,70,70,30,60,100,70,2,"Female","White","Graduate Degree",9,73,1
"7000","Small Town","Country Person",5,"Republican",40,70,50,60,50,60,50,50,50,50,50,60,50,50,50,50,50,50,70,70,50,100,30,50,100,60,50,85,85,5,"Male","White","High School",7,34,1
"7001",NA,NA,2,"Democrat",60,30,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","Black","Some College",1,56,0
"7002","Small Town","Suburb Person",6,"Republican",0,60,36,35,60,0,90,50,30,15,40,60,90,95,75,35,100,90,100,90,60,75,60,20,0,75,100,85,90,6,"Male","White","Graduate Degree",20,38,1
"7003","Suburb","Suburb Person",7,"Republican",0,85,15,85,0,100,15,40,40,0,0,85,85,100,40,15,15,85,50,85,0,85,0,15,0,85,70,15,30,6,"Male","White","Some College",22,61,1
"7004","City","Suburb Person",6,"Republican",30,70,40,70,15,85,85,15,60,40,70,50,70,85,50,40,NA,50,50,85,50,100,30,NA,30,85,85,50,85,3,"Female","White","High School",1,75,1
"7005","City","City Person",2,"Democrat",70,0,60,0,50,0,70,30,50,40,40,40,30,60,50,40,50,30,50,30,50,80,60,50,50,15,50,60,50,3,"Male","White","Graduate Degree",12,42,1
"7006","Suburb","Small Town Person",7,"Republican",0,100,15,100,30,85,70,NA,85,40,NA,NA,85,NA,70,70,NA,100,NA,100,NA,85,NA,30,40,70,NA,85,70,6,"Female","White","Some College",1,59,1
"7007","City","City Person",4,"Independent",0,0,0,0,NA,50,85,50,50,50,70,60,50,40,60,50,50,60,70,85,60,85,50,60,NA,NA,NA,85,85,4,"Female","White","Some College",NA,61,0
"7008","Rural Area","Country Person",7,"Republican",0,100,0,85,0,75,50,50,50,50,50,40,50,50,50,50,50,85,85,70,50,50,50,50,50,50,70,50,50,4,"Female","White","Some College",9,38,1
"7009","Small Town","Country Person",6,"Republican",0,70,0,85,0,100,30,70,0,0,0,70,100,70,50,15,40,85,85,85,15,70,0,5,0,100,100,0,15,6,"Male","White","Some College",11,34,1
"7010","City","City Person",3,"Democrat",70,0,70,0,100,15,100,0,100,60,70,60,0,30,100,30,100,0,100,30,100,100,90,85,0,20,0,100,85,4,"Female","Hispanic","Bachelor's Degree",17,36,0
"7011","Suburb","Suburb Person",1,"Democrat",85,0,100,0,95,0,100,0,80,80,85,30,15,NA,90,15,90,10,95,85,50,100,90,75,90,70,100,90,90,2,"Male","White","Bachelor's Degree",17,74,1
"7012","Suburb","City Person",6,"Republican",0,80,15,90,30,85,85,65,70,50,30,85,75,100,50,25,50,90,90,85,50,100,20,30,0,95,95,50,90,6,"Male","White","Bachelor's Degree",21,64,1
"7013","Small Town","Small Town Person",6,"Republican",40,60,0,15,0,0,30,50,40,40,50,0,40,30,50,40,50,70,50,30,50,85,60,30,0,50,70,50,60,5,"Female","White","Some College",13,22,0
"7014","Small Town","Country Person",5,"Republican",0,60,0,100,0,100,0,0,15,0,60,40,85,50,50,0,NA,70,85,85,15,50,0,30,0,100,100,40,70,6,"Male",NA,"Some College",2,77,1
"7015",NA,NA,6,"Republican",0,70,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male",NA,NA,1,NA,0
"7016","City","Suburb Person",3,"Democrat",60,15,60,30,60,0,100,50,40,50,15,50,0,40,30,15,50,50,50,70,15,70,40,40,30,40,NA,40,85,4,"Male","White","Some College",1,37,1
"7017","Suburb","Suburb Person",5,"Republican",0,50,0,100,0,85,0,40,0,0,0,50,50,70,50,0,50,50,50,85,50,50,0,0,0,100,85,0,85,4,"Male","White","Bachelor's Degree",1,36,1
"7018","Suburb","Small Town Person",5,"Republican",0,50,0,100,0,100,0,15,15,0,50,85,100,70,50,50,40,50,50,100,50,50,0,15,0,85,100,0,15,6,"Male","White","Bachelor's Degree",1,51,1
"7019","City","City Person",3,"Democrat",30,0,60,0,60,0,95,20,70,60,80,15,30,40,70,30,70,35,70,40,70,85,85,70,70,30,60,80,70,2,"Male","White","Graduate Degree",13,27,1
"7020","Suburb","Suburb Person",2,"Democrat",85,50,70,0,100,0,100,70,100,50,30,30,60,30,60,0,40,30,30,30,30,70,100,60,NA,NA,0,15,60,4,"Female","Black","Some College",6,37,1
"7021","Small Town","Small Town Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female","Asian","Less than High School",7,49,1
"7022","City","City Person",3,"Democrat",70,25,75,30,75,40,85,0,90,75,75,30,30,40,100,70,90,15,55,65,85,100,90,85,65,40,55,90,90,2,"Female","Hispanic","Some College",17,28,0
"7023","Rural Area","Small Town Person",4,"Independent",75,15,85,0,85,0,85,40,100,85,70,50,60,50,100,30,100,85,100,70,100,90,100,60,50,50,85,100,85,2,"Female","White","Graduate Degree",20,40,1
"7024","Small Town","Small Town Person",4,"Independent",60,50,60,60,70,50,100,30,85,50,80,85,50,100,50,15,50,15,80,85,0,100,30,100,85,30,100,100,85,4,"Male","Asian","Less than High School",6,46,0
"7025","City","City Person",7,"Republican",0,100,0,100,70,60,15,85,100,60,50,100,85,70,100,60,85,70,85,50,70,70,85,85,50,50,50,50,60,6,"Female","Hispanic","Some College",11,21,0
"7026","Small Town","Suburb Person",7,"Republican",0,85,0,100,15,85,50,100,50,30,50,50,85,50,50,40,50,100,85,100,50,60,50,15,30,85,NA,50,50,6,"Female","White","Some College",NA,63,1
"7027","City","Suburb Person",1,"Democrat",85,15,100,0,100,0,85,15,85,85,70,30,30,60,70,15,70,50,70,40,70,85,85,85,70,60,60,70,85,2,"Male","White","High School",11,68,1
"7028","Suburb","Suburb Person",7,"Republican",40,85,0,100,0,100,50,50,30,0,50,40,85,40,50,50,40,50,50,85,40,50,0,15,0,85,70,50,30,6,"Male","White","High School",16,27,1
"7029",NA,NA,4,"Independent",0,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Male","Hispanic","High School",18,80,0
"7030","Suburb","Suburb Person",2,"Democrat",70,50,85,40,100,NA,100,85,70,85,85,70,70,85,70,70,70,85,85,100,70,100,85,100,30,60,100,60,50,4,"Female","White","Graduate Degree",15,77,1
"7031","Suburb","Small Town Person",1,"Democrat",70,15,70,0,85,0,100,60,70,60,50,60,60,85,85,50,70,85,85,100,85,100,60,60,60,85,85,85,85,4,"Female","White","Some College",14,64,1
"7032","Rural Area","Country Person",5,"Republican",0,100,0,100,0,90,0,50,50,10,50,10,98,50,80,50,50,50,50,100,50,50,0,0,0,50,90,0,0,NA,"Male","White","Some College",NA,29,1
"7033","Rural Area","Country Person",5,"Republican",50,50,60,0,70,0,75,0,45,45,50,50,50,20,69,50,80,15,80,60,50,100,70,75,NA,60,50,85,75,4,"Male","White","High School",2,29,0
"7034",NA,NA,1,"Democrat",85,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,"High School",NA,60,0
"7035","City","Suburb Person",1,"Democrat",70,0,85,0,85,0,100,15,100,85,85,30,15,50,100,30,60,60,70,15,100,100,100,50,50,40,50,85,85,2,"Male","Hispanic","Bachelor's Degree",2,22,1
"7036","Rural Area","Country Person",7,"Republican",0,100,0,100,0,100,0,50,0,50,50,50,50,50,50,50,50,70,50,70,50,50,100,50,50,NA,NA,NA,15,NA,"Female","White","Some College",1,39,1
"7037","Suburb","Suburb Person",1,"Democrat",60,0,85,0,70,0,100,15,70,85,85,30,15,40,85,40,50,15,85,15,85,100,70,70,40,70,50,60,100,3,"Male","White","Bachelor's Degree",17,67,1
"7038","Suburb","Suburb Person",1,"Democrat",85,15,60,0,85,0,85,30,70,70,40,40,40,85,50,40,60,70,70,85,50,100,60,15,40,60,60,60,70,2,"Female","White","Graduate Degree",22,53,1
"7039","Rural Area","Country Person",4,"Independent",30,30,60,30,70,15,100,40,100,50,50,50,50,50,100,50,100,100,100,100,100,100,70,50,50,50,50,85,100,4,"Female","White","Graduate Degree",NA,63,0
"7040","City","City Person",1,"Democrat",70,0,100,0,100,0,100,0,100,90,85,15,0,40,100,50,85,15,95,20,100,100,100,95,85,0,0,100,100,2,"Male","White","High School",4,50,1
"7041","Rural Area","Small Town Person",2,"Democrat",80,10,90,0,90,0,100,5,85,80,85,30,20,75,85,30,85,50,80,80,90,95,90,70,75,50,60,65,80,2,"Male","White","Some College",15,49,1
"7042","Small Town","Country Person",7,"Republican",15,70,15,70,5,70,30,NA,70,30,40,15,50,40,NA,40,NA,50,NA,70,50,70,NA,30,NA,NA,50,NA,50,6,"Male","White","Bachelor's Degree",8,57,1
"7043","Suburb","Small Town Person",5,"Republican",30,60,50,70,40,70,NA,60,85,70,70,30,40,85,50,0,50,100,60,100,50,85,70,50,50,50,50,40,60,3,"Male","White","Some College",22,70,0
"7044","Small Town","Country Person",4,"Independent",NA,NA,15,40,0,70,50,40,50,40,60,30,60,45,85,50,40,40,50,75,85,85,15,40,NA,50,NA,45,50,NA,"Male","White","Some College",15,28,1
"7045","Suburb","Small Town Person",3,"Democrat",70,0,85,0,85,0,85,0,85,65,60,15,10,35,90,65,75,20,90,35,90,85,60,75,70,10,50,85,85,2,"Female","White","Graduate Degree",18,47,1
"7046","Suburb","Country Person",4,"Independent",40,40,0,30,40,60,50,50,50,50,50,30,50,30,50,30,50,50,50,50,50,50,0,40,50,50,60,50,85,4,"Female","Hispanic","Some College",9,28,0
"7047","City","City Person",1,"Democrat",90,5,95,3,90,0,90,0,90,86,65,45,10,20,90,75,90,10,90,80,85,95,85,90,60,80,60,100,80,4,"Female","White","Graduate Degree",16,55,1
"7048","Small Town","City Person",6,"Republican",0,60,0,70,0,100,50,70,50,0,50,50,85,60,50,40,50,100,100,100,50,70,0,30,0,100,70,50,60,5,"Female","White","Bachelor's Degree",11,62,1
"7049","Small Town","Country Person",7,"Republican",15,85,15,85,15,85,15,NA,50,30,15,50,85,50,50,15,NA,NA,NA,70,50,50,NA,30,15,85,85,0,30,6,"Male","White","Bachelor's Degree",20,62,1
"7050","Small Town","Suburb Person",1,"Democrat",85,0,60,0,85,0,100,0,100,100,70,0,0,70,100,50,100,40,100,0,100,100,100,100,50,15,NA,70,40,2,"Female","Hispanic","Some College",15,47,1
"7051","Rural Area","Suburb Person",7,"Republican",30,85,30,85,0,100,70,100,70,60,85,70,85,85,50,60,40,85,85,100,50,70,15,40,60,NA,85,70,70,NA,"Male","White","Some College",1,80,0
"7052","Small Town","Small Town Person",2,"Democrat",60,0,60,0,60,0,85,40,60,60,60,50,40,20,50,40,60,70,60,60,60,60,85,60,50,50,50,50,50,2,"Female","White","Bachelor's Degree",1,80,1
"7053",NA,NA,7,"Republican",0,70,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Male","Hispanic","High School",22,57,0
"7054","Small Town","Small Town Person",7,"Republican",0,75,30,90,15,100,60,85,0,15,15,40,85,70,70,20,50,100,85,100,50,60,0,0,0,70,100,0,30,6,"Female","White","Some College",19,56,1
"7055","Rural Area","Country Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,100,NA,100,85,NA,NA,NA,NA,100,NA,NA,NA,"Female","Black","Bachelor's Degree",NA,77,0
"7056","Small Town","Small Town Person",7,"Republican",15,85,30,70,15,85,60,85,30,30,60,50,70,85,60,60,40,100,100,85,50,50,40,70,30,70,100,40,85,6,"Male","Native American","High School",10,18,0
"7057","Suburb","City Person",7,"Republican",15,85,0,85,0,100,40,85,50,0,40,85,100,100,85,40,50,100,85,100,50,85,15,0,0,100,100,70,70,4,"Female","White","Some College",8,65,1
"7058","Small Town","Small Town Person",7,"Republican",50,60,0,85,30,70,30,50,60,50,50,50,60,50,50,50,50,60,50,50,50,50,60,70,50,50,50,30,40,4,"Male","Hispanic","Some College",10,30,1
"7059","City","Small Town Person",7,"Republican",0,100,0,100,0,100,70,50,60,0,50,15,50,60,50,15,70,100,85,30,70,85,30,0,0,0,100,40,70,NA,"Female","White","Some College",1,66,1
"7060","City","Small Town Person",4,"Independent",0,60,0,100,0,90,0,50,35,40,35,45,60,50,50,30,50,50,50,65,50,65,0,0,15,80,75,0,30,5,"Female","Native American","Some College",11,45,1
"7061","Small Town","Country Person",6,"Republican",30,60,0,60,15,60,40,50,0,40,40,0,60,70,70,60,70,70,70,85,50,60,0,40,0,60,85,50,60,5,"Male","White","Bachelor's Degree",9,26,1
"7062","Small Town","Country Person",7,"Republican",25,100,0,100,0,100,30,50,50,20,50,30,80,40,50,40,50,50,50,90,50,50,30,40,50,50,50,50,50,1,"Male","White","Some College",16,28,0
"7063","City","Small Town Person",3,"Democrat",70,15,60,30,100,0,85,60,60,40,60,40,85,40,85,50,60,60,60,40,70,100,85,40,40,40,NA,70,70,NA,"Female","White","Bachelor's Degree",21,36,1
"7064","Suburb","Suburb Person",7,"Republican",10,90,15,75,5,85,20,90,35,10,15,50,85,50,35,50,50,100,85,75,15,30,30,20,0,50,65,30,30,7,"Female","White","Graduate Degree",18,36,1
"7065",NA,NA,7,"Republican",0,100,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Male","Hispanic","Graduate Degree",8,76,0
"7066","Rural Area","Country Person",7,"Republican",0,100,0,100,0,100,60,60,0,0,100,0,0,60,0,0,0,100,70,100,0,60,0,0,0,0,100,0,100,7,"Male","White","High School",5,59,1
"7067","Rural Area","Country Person",6,"Republican",15,70,15,85,0,70,0,50,15,30,30,50,70,85,50,15,70,85,70,100,50,40,0,0,0,70,100,0,50,6,"Female","White","Some College",NA,NA,1
"7068",NA,NA,7,"Republican",30,85,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","White","Some College",17,57,0
"7069","Suburb","Small Town Person",5,"Republican",15,30,30,15,40,15,100,15,50,40,30,40,40,85,50,40,50,50,50,60,50,100,60,60,15,85,50,100,100,4,"Female","White","Bachelor's Degree",22,35,1
"7070","Suburb","City Person",7,"Republican",30,70,0,98,0,85,65,70,70,65,50,65,65,85,100,30,75,90,100,65,100,85,90,35,65,50,65,70,85,4,"Male","Native American","Bachelor's Degree",11,42,1
"7071","Suburb","Suburb Person",4,"Independent",60,60,50,60,0,100,100,60,100,100,95,100,100,100,50,100,0,100,100,100,50,100,0,100,65,50,100,100,NA,4,"Female","Asian","Bachelor's Degree",21,35,1
"7072","City","City Person",3,"Democrat",40,0,50,0,50,0,100,0,100,70,85,15,30,40,100,50,85,30,100,60,100,100,100,100,60,15,70,100,85,2,"Male","White","Some College",22,41,1
"7073","City","Small Town Person",5,"Republican",3,61,4,64,0,72,0,60,0,0,80,20,85,40,50,38,50,50,50,43,50,95,0,0,5,53,70,0,0,6,"Male","Black","Some College",11,37,1
"7074","Suburb","Small Town Person",7,"Republican",0,85,0,100,0,100,0,50,50,50,50,50,85,85,50,50,50,100,50,85,50,50,0,50,0,80,100,0,50,6,"Female","White","Some College",7,53,1
"7075","City","City Person",3,"Democrat",60,60,50,15,70,40,100,70,85,85,60,70,60,70,85,70,70,100,60,60,70,100,70,85,40,60,85,85,100,4,"Female","White","Bachelor's Degree",8,26,0
"7076","City","City Person",2,"Democrat",60,40,60,15,40,0,7,40,50,60,50,30,40,60,50,30,50,50,50,40,50,70,50,40,30,40,60,30,30,4,"Male","Hispanic","High School",11,45,0
"7077",NA,NA,5,"Republican",0,60,0,85,0,85,30,0,60,0,75,100,70,85,85,85,45,40,45,80,70,50,15,30,0,80,NA,40,40,4,"Female","White","Bachelor's Degree",10,32,0
"7078","City","Country Person",5,"Republican",15,60,30,60,15,60,85,15,20,15,85,40,85,70,70,40,70,85,70,100,70,70,15,30,0,70,85,30,30,4,"Male","White","Some College",16,37,1
"7079","Rural Area","City Person",4,"Independent",50,50,48,40,30,30,40,33,55,33,55,15,12,28,55,40,40,40,40,50,50,60,44,25,33,33,NA,55,55,4,"Female","White","High School",3,38,0
"7080","Small Town","Country Person",7,"Republican",30,100,15,100,60,40,50,85,85,100,100,0,40,70,100,70,85,70,100,70,100,85,70,40,40,15,70,70,50,6,"Female","White","Bachelor's Degree",16,50,0
"7081","Rural Area","Suburb Person",7,"Republican",0,50,30,85,15,100,60,50,15,30,50,70,85,85,85,85,50,85,85,85,85,70,40,40,15,60,85,70,70,5,"Female","White","Bachelor's Degree",15,36,1
"7082","Rural Area","Country Person",4,"Independent",50,70,40,85,50,60,85,50,50,60,85,70,40,50,50,50,50,50,85,85,50,85,50,85,50,50,85,60,70,4,"Male","White","Less than High School",7,53,0
"7083","City","Small Town Person",7,"Republican",0,85,0,100,0,100,0,100,50,0,0,40,100,85,50,0,0,100,50,100,50,70,0,0,0,100,70,0,60,5,"Male","White","Some College",1,NA,1
"7084","Rural Area","City Person",3,"Democrat",60,0,85,15,60,0,50,50,70,50,50,50,0,50,100,15,100,50,100,0,100,85,100,50,50,50,NA,NA,0,4,"Female","White","High School",1,25,1
"7085","Suburb","Suburb Person",7,"Republican",15,85,30,60,10,89,40,85,40,30,50,50,85,65,50,50,50,90,60,89,NA,50,40,25,0,50,90,20,60,7,"Male","White","Bachelor's Degree",NA,42,1
"7086","Small Town","Country Person",7,"Republican",15,100,0,100,30,85,40,70,40,15,60,40,85,70,70,60,60,85,85,85,50,50,60,15,0,30,85,70,40,6,"Female","White","Bachelor's Degree",22,25,1
"7087","Small Town","Small Town Person",2,"Democrat",70,0,85,0,85,0,100,0,85,100,70,60,15,40,100,85,100,40,85,40,70,100,100,85,60,50,70,100,70,3,"Female","White","Graduate Degree",22,61,1
"7088","City","Suburb Person",3,"Democrat",70,NA,60,0,60,0,100,10,40,70,40,20,30,70,70,60,80,80,100,40,70,100,70,80,20,80,30,80,80,4,"Male","White","Graduate Degree",14,27,1
"7089","Suburb",NA,5,"Republican",15,40,30,60,30,40,60,NA,15,40,70,60,60,40,70,40,70,85,70,70,50,60,40,15,15,60,50,30,70,5,"Male","Other","High School",8,41,0
"7090","Small Town","City Person",1,"Democrat",100,0,100,0,100,NA,100,50,100,50,100,50,40,50,100,10,100,100,100,50,100,100,100,100,100,0,NA,100,100,4,"Male","Black","Some College",10,56,1
"7091","Small Town","Small Town Person",3,"Democrat",15,15,30,0,60,0,70,25,90,85,51,55,40,60,100,35,50,45,NA,35,90,90,90,67,75,50,NA,87,87,2,"Male","White","Some College",7,31,1
"7092","Suburb","Small Town Person",5,"Republican",15,60,30,85,30,60,15,100,15,70,30,30,70,15,50,40,50,60,50,40,50,70,30,0,15,60,70,0,0,6,"Male","White","High School",6,26,1
"7093","Suburb","City Person",4,"Independent",50,15,85,0,70,0,100,30,85,70,60,70,50,60,100,15,85,60,100,85,100,100,70,70,60,85,85,100,85,3,"Male","White","Graduate Degree",22,61,1
"7094","Suburb","Suburb Person",3,"Democrat",40,NA,70,0,9,0,90,15,60,60,20,70,15,70,50,20,15,30,15,85,40,100,60,60,40,80,70,80,70,4,"Male","White","Bachelor's Degree",22,44,1
"7095","Suburb","Small Town Person",7,"Republican",0,75,40,85,0,70,100,85,50,0,50,69,85,100,25,60,0,85,85,85,25,90,0,30,1,75,70,10,91,5,"Male","White","Some College",NA,77,1
"7096","Rural Area","Country Person",7,"Republican",0,70,0,100,0,100,60,100,60,0,50,50,100,60,15,60,50,100,50,85,0,70,30,30,0,50,100,60,60,NA,"Male","White","Less than High School",16,27,0
"7097","City","City Person",6,"Republican",60,60,70,30,100,50,100,70,70,50,50,60,60,85,NA,50,50,85,85,100,NA,100,60,60,50,50,70,85,85,5,"Female","White","Some College",9,77,1
"7098","City","City Person",3,"Democrat",70,0,100,0,100,0,100,40,90,90,90,70,15,40,90,0,70,85,90,70,85,100,95,100,85,60,0,90,40,4,"Male","Hispanic","Bachelor's Degree",10,NA,1
"7099",NA,NA,1,"Democrat",85,30,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Male","White","Bachelor's Degree",21,31,0
"7100","Suburb","City Person",1,"Democrat",85,0,85,0,85,0,100,0,85,70,60,60,15,70,85,50,85,70,85,85,85,70,85,70,50,50,50,50,40,4,"Female","White","Graduate Degree",20,47,1
"7101","City","City Person",3,"Democrat",70,40,60,0,60,30,60,70,85,50,50,30,50,50,100,50,50,70,85,60,85,50,60,50,40,40,NA,50,50,NA,"Female","Hispanic","Less than High School",NA,27,1
"7102","Small Town","Small Town Person",1,"Democrat",85,0,85,0,85,0,85,40,85,85,70,50,50,85,70,85,70,70,70,70,70,85,70,70,70,70,70,85,70,1,"Female","Other","Bachelor's Degree",17,69,1
"7103","City","City Person",5,"Republican",10,60,30,85,10,90,60,90,15,40,40,90,80,90,50,0,30,90,90,90,0,85,0,20,0,100,90,40,60,5,"Male","White","Graduate Degree",22,66,1
"7104","Suburb","Suburb Person",5,"Republican",0,70,0,100,0,100,15,100,0,0,60,85,100,85,15,70,15,100,80,100,15,85,0,0,0,100,100,0,60,7,"Male","White","Graduate Degree",NA,NA,1
"7105",NA,NA,1,"Democrat",85,15,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","White","Graduate Degree",17,65,0
"7106",NA,NA,4,"Independent",85,15,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Male","Hispanic","Less than High School",8,18,0
"7107","Suburb","Suburb Person",6,"Republican",50,40,90,0,95,0,95,35,95,95,40,70,75,90,95,70,95,95,95,95,95,95,85,90,35,75,95,90,95,5,"Female","White","Bachelor's Degree",16,64,1
"7108","Small Town","Small Town Person",1,"Democrat",70,0,85,0,70,0,100,0,15,0,60,70,0,0,30,40,15,50,60,0,0,50,100,0,0,NA,0,NA,60,NA,"Male","Black","Some College",1,22,1
"7109","City","Suburb Person",3,"Democrat",70,40,70,15,85,10,75,60,85,85,85,40,60,50,85,40,85,85,85,85,85,95,85,60,85,60,75,90,95,2,"Male","Hispanic","Some College",8,42,1
"7110","Rural Area","Small Town Person",4,"Independent",0,60,15,60,0,70,20,0,0,15,85,15,50,60,30,50,50,60,50,0,50,100,15,0,65,50,100,45,65,3,"Female","White","Some College",17,54,1
"7111","City","City Person",7,"Republican",0,50,50,50,30,70,50,85,20,15,15,50,70,85,100,15,70,100,100,85,70,85,0,15,0,100,100,50,50,6,"Female","White","Some College",18,52,1
"7112","Rural Area","Small Town Person",7,"Republican",40,90,40,85,50,99,60,NA,70,75,80,90,97,90,79,76,60,97,79,95,60,85,50,80,50,90,99,80,70,7,"Male","White","Some College",5,80,1
"7113","City","City Person",2,"Democrat",65,0,90,0,90,0,100,20,85,60,40,60,30,40,85,25,60,40,50,40,60,100,85,85,40,70,30,85,85,3,"Female","White","Bachelor's Degree",21,28,1
"7114","Small Town","Small Town Person",6,"Republican",0,85,15,85,15,100,30,100,30,30,30,50,100,70,70,60,15,100,85,85,60,60,15,15,15,85,85,15,50,6,"Male","White","Some College",3,63,1
"7115","Suburb","Suburb Person",1,"Democrat",100,15,70,0,85,0,50,NA,100,85,100,50,40,100,100,50,100,100,100,70,100,100,100,100,60,NA,NA,100,100,2,"Female","White","Graduate Degree",20,34,1
"7116","Suburb","Small Town Person",5,"Republican",15,100,40,85,15,70,50,50,60,30,30,85,85,85,85,15,70,85,85,100,70,85,0,0,0,85,100,0,60,5,"Female","White","Bachelor's Degree",17,72,1
"7117","Small Town","Small Town Person",1,"Democrat",70,15,85,0,100,0,85,40,50,80,60,50,40,50,70,50,70,70,100,85,70,85,70,60,40,50,50,80,90,4,"Male","White","Some College",7,63,1
"7118","City","City Person",1,"Democrat",70,15,85,0,85,0,100,0,100,85,50,50,15,30,100,30,85,15,85,15,100,100,100,85,50,60,40,85,85,2,"Female","White","Bachelor's Degree",19,35,1
"7119",NA,NA,1,"Democrat",100,15,100,0,100,15,60,50,85,50,100,70,85,60,100,50,100,100,50,100,100,70,100,60,NA,50,NA,100,100,NA,"Male","Native American","Some College",NA,NA,1
"7120",NA,NA,7,"Republican",40,70,30,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","White","High School",4,69,0
